"candidate_id","location_city","city_dev_score","sex","prior_experience","university_enrollment","academic_qualification","field_of_study","work_experience_years","employer_size","employer_type","time_since_last_job_change","hours_of_training","target"
13238,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","2",19,"0"
13478,"city_21",0.624,"","Has relevent experience","Full time course","Graduate","STEM","2","Oct-49","Funded Startup","",32,"1"
29975,"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","6","","","1",90,"0"
26516,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","3",25,"0"
8433,"city_100",0.887,"Male","Has relevent experience","no_enrollment","Masters","Humanities",">20","100-500","Pvt Ltd",">4",48,"0"
9572,"city_11",0.55,"","No relevent experience","Full time course","High School","","3","","","",98,"0"
5878,"city_93",0.865,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","2",142,"1"
25695,"city_67",0.855,"Other","No relevent experience","no_enrollment","Masters","Humanities","4","10000+","Pvt Ltd","4",13,"0"
9645,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","","",">4",47,"0"
12730,"city_16",0.91,"Female","Has relevent experience","no_enrollment","Masters","Humanities","14","500-999","Public Sector","1",28,"0"
20970,"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","4",22,"0"
10908,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","100-500","","1",46,"0"
3686,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Pvt Ltd","2",17,"0"
22683,"city_36",0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","50-99","Pvt Ltd","2",65,"0"
22134,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",35,"0"
31765,"city_67",0.855,"Male","No relevent experience","Full time course","Graduate","STEM","9","10000+","Pvt Ltd","3",14,"0"
31449,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","2","<10","Early Stage Startup","1",4,"0"
5987,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd",">4",12,"0"
21762,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","2",108,"0"
22070,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","","","1",136,"0"
25413,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","Oct-49","","1",27,"0"
5902,"city_20",0.796,"","Has relevent experience","Part time course","Masters","STEM","4","50-99","Funded Startup","1",74,"0"
28751,"city_103",0.92,"","No relevent experience","Full time course","High School","","4","","","3",75,"0"
29290,"city_152",0.698,"Male","No relevent experience","Full time course","Masters","STEM","11","","Public Sector","2",42,"0"
32401,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","","1",332,"0"
19128,"city_61",0.913,"Male","No relevent experience","Full time course","Graduate","STEM","4","","","",140,"0"
29036,"city_16",0.91,"Male","No relevent experience","no_enrollment","High School","","3","","","never",182,"0"
16869,"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",13,"1"
10497,"city_19",0.682,"","Has relevent experience","no_enrollment","Graduate","STEM","5","Oct-49","Pvt Ltd","2",172,"1"
18099,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","10","100-500","NGO","1",48,"0"
12081,"city_65",0.802,"Male","Has relevent experience","Full time course","Graduate","STEM","9","50-99","Pvt Ltd","1",33,"0"
11184,"city_74",0.579,"","No relevent experience","Full time course","Graduate","STEM","2","100-500","Pvt Ltd","1",34,"0"
8695,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","Oct-49","Pvt Ltd","2",27,"1"
6172,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd","1",24,"1"
14672,"city_173",0.878,"","No relevent experience","no_enrollment","Masters","STEM",">20","","","1",150,"0"
18257,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","500-999","NGO",">4",20,"0"
24493,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","5","500-999","","1",140,"0"
1180,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,"0"
8168,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","5000-9999","Pvt Ltd","2",3,"0"
10473,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","<10","Pvt Ltd","2",2,"1"
25349,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",28,"0"
11338,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Pvt Ltd","1",36,"0"
27963,"city_98",0.949,"Male","No relevent experience","Full time course","Graduate","STEM","4","","","1",160,"1"
8571,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","2","Oct-49","NGO","2",101,"0"
20576,"city_97",0.925,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",19,"0"
21199,"city_90",0.698,"","Has relevent experience","Full time course","Graduate","STEM","7","<10","NGO","1",90,"0"
14199,"city_160",0.92,"Male","Has relevent experience","Part time course","Graduate","Business Degree","10","50-99","Funded Startup","1",260,"0"
7666,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","50-99","Pvt Ltd",">4",74,"0"
13915,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","100-500","Pvt Ltd","2",20,"1"
10555,"city_173",0.878,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","100-500","Pvt Ltd","2",8,"0"
16040,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","1",131,"0"
32826,"city_138",0.836,"Male","Has relevent experience","Full time course","Masters","STEM","7","","","1",45,"0"
15637,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",70,"0"
28074,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","NGO",">4",17,"0"
23012,"city_103",0.92,"Female","No relevent experience","no_enrollment","Masters","STEM","15","50-99","Pvt Ltd","1",51,"0"
16110,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","3",60,"1"
3921,"city_36",0.893,"","No relevent experience","no_enrollment","Phd","STEM",">20","1000-4999","Public Sector",">4",4,"0"
24530,"city_114",0.926,"Male","No relevent experience","no_enrollment","Graduate","STEM","12","100-500","Pvt Ltd",">4",7,"0"
1924,"city_102",0.804,"","Has relevent experience","no_enrollment","Masters","STEM",">20","100-500","Pvt Ltd","3",164,"0"
32776,"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","","","4",290,"0"
23947,"city_103",0.92,"","No relevent experience","no_enrollment","Phd","STEM","","","","",70,"0"
30488,"city_11",0.55,"","No relevent experience","Full time course","Graduate","STEM","2","","","1",20,"0"
22098,"city_90",0.698,"Female","No relevent experience","Full time course","Masters","STEM","5","","","4",21,"1"
13342,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","Other","8","5000-9999","Pvt Ltd","2",34,"0"
24608,"city_160",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","9","<10","Pvt Ltd","2",15,"0"
20081,"city_57",0.866,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",156,"0"
7777,"city_114",0.926,"","Has relevent experience","no_enrollment","Masters","STEM",">20","","","never",120,"0"
3396,"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","6","500-999","Pvt Ltd","never",102,"0"
4283,"city_103",0.92,"Male","No relevent experience","no_enrollment","High School","","4","","","never",52,"0"
8241,"city_16",0.91,"","Has relevent experience","no_enrollment","","","11","","","1",4,"0"
19882,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","","",">4",72,"0"
4656,"city_114",0.926,"Male","No relevent experience","no_enrollment","High School","","6","","Pvt Ltd","never",28,"0"
16903,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","No Major","17","5000-9999","Pvt Ltd","1",125,"0"
13333,"city_75",0.939,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","never",326,"0"
12381,"city_102",0.804,"","No relevent experience","no_enrollment","Masters","STEM","6","10000+","Pvt Ltd",">4",40,"0"
4064,"city_160",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","18","","","1",198,"1"
32092,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","15","10000+","Pvt Ltd",">4",55,"0"
3766,"city_150",0.698,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","500-999","Pvt Ltd",">4",32,"0"
30496,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts",">20","100-500","Pvt Ltd",">4",11,"0"
7189,"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd","1",41,"0"
31593,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","100-500","Pvt Ltd","4",114,"0"
12384,"city_70",0.698,"","Has relevent experience","","","",">20","","",">4",33,"0"
3728,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","5000-9999","Pvt Ltd","4",13,"0"
3024,"city_98",0.949,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Public Sector","1",246,"0"
23508,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","Oct-49","Pvt Ltd","1",22,"0"
29457,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","<10","Funded Startup","1",81,"0"
29226,"city_104",0.924,"Male","No relevent experience","Full time course","High School","","6","","","never",15,"0"
5493,"city_28",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","Oct-49","Pvt Ltd",">4",31,"0"
2891,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd","never",84,"0"
32509,"city_136",0.897,"Male","Has relevent experience","Part time course","Graduate","STEM","4","10000+","Pvt Ltd","1",42,"0"
31841,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","10","Oct-49","Pvt Ltd",">4",105,"1"
907,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",72,"0"
29526,"city_115",0.789,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","Oct-49","Pvt Ltd",">4",42,"1"
10956,"city_94",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Early Stage Startup","1",152,"0"
26099,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","10000+","Pvt Ltd","1",60,"0"
4120,"city_16",0.91,"Male","No relevent experience","Full time course","Masters","STEM","13","","","3",17,"1"
7335,"city_83",0.923,"Male","No relevent experience","no_enrollment","High School","","1","","","1",33,"0"
706,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","4","100-500","Funded Startup","never",38,"0"
9890,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","14","<10","Early Stage Startup","2",178,"0"
7731,"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","","","never",84,"0"
22899,"city_100",0.887,"","Has relevent experience","no_enrollment","Masters","STEM","9","100-500","Pvt Ltd","1",31,"1"
20866,"city_59",0.775,"","Has relevent experience","no_enrollment","Graduate","STEM","7","Oct-49","Pvt Ltd","1",12,"0"
29529,"city_165",0.903,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Pvt Ltd","1",55,"1"
4478,"city_11",0.55,"","Has relevent experience","no_enrollment","Graduate","STEM","5","50-99","Pvt Ltd","",7,"1"
30695,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","3","","Pvt Ltd","never",42,"0"
397,"city_73",0.754,"","Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","4",81,"0"
31602,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd","1",7,"0"
16814,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",62,"0"
19249,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","1",83,"0"
9475,"city_28",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","1000-4999","Pvt Ltd",">4",11,"0"
4865,"city_114",0.926,"Male","No relevent experience","Part time course","Phd","STEM",">20","50-99","",">4",10,"0"
20881,"city_28",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,"0"
21563,"city_21",0.624,"","Has relevent experience","no_enrollment","Masters","STEM","3","50-99","Pvt Ltd","1",36,"0"
25114,"city_102",0.804,"","No relevent experience","","Masters","STEM","6","Oct-49","Pvt Ltd","1",17,"0"
6141,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","100-500","Pvt Ltd","2",45,"0"
27667,"city_103",0.92,"Male","No relevent experience","Full time course","Graduate","STEM","5","","","never",77,"0"
2821,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","100-500","Pvt Ltd","2",8,"0"
21216,"city_173",0.878,"","No relevent experience","no_enrollment","Graduate","STEM","5","","","1",28,"0"
28015,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","500-999","Pvt Ltd","2",162,"0"
405,"city_165",0.903,"Male","Has relevent experience","no_enrollment","Masters","STEM","19","100-500","Pvt Ltd","4",4,"0"
399,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","1",190,"0"
25380,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","13","100-500","",">4",39,"0"
24617,"city_102",0.804,"Male","Has relevent experience","Full time course","High School","","9","","","1",16,"0"
13083,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","50-99","Pvt Ltd",">4",29,"0"
3500,"city_103",0.92,"Other","No relevent experience","Part time course","High School","","6","50-99","Funded Startup","1",54,"0"
24082,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","Oct-49","Pvt Ltd","1",8,"1"
6189,"city_36",0.893,"","No relevent experience","no_enrollment","Graduate","Business Degree","2","50-99","Pvt Ltd","1",110,"0"
16994,"city_46",0.762,"Other","Has relevent experience","Part time course","High School","","3","Oct-49","Pvt Ltd","1",262,"0"
13135,"city_138",0.836,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","","","1",6,"0"
14578,"city_64",0.666,"Male","Has relevent experience","Part time course","Graduate","STEM","9","Oct-49","Pvt Ltd","1",19,"1"
16496,"city_21",0.624,"Male","No relevent experience","","Graduate","STEM","<1","","","1",107,"1"
16537,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","10000+","",">4",134,"0"
17358,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","Oct-49","Early Stage Startup","1",40,"0"
21933,"city_71",0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","50-99","Pvt Ltd","1",11,"0"
17762,"city_103",0.92,"","No relevent experience","no_enrollment","High School","","5","","","1",20,"1"
4310,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd","3",4,"0"
5142,"city_16",0.91,"","No relevent experience","no_enrollment","Primary School","","5","","","never",15,"0"
22319,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","<1","","","1",14,"1"
20976,"city_160",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM","5","1000-4999","Public Sector","2",40,"0"
13150,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","100-500","Pvt Ltd","2",27,"0"
12206,"city_114",0.926,"Male","No relevent experience","no_enrollment","High School","","10","100-500","Pvt Ltd",">4",46,"0"
13152,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","50-99","Funded Startup","1",96,"0"
1069,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","5","10000+","Pvt Ltd","2",57,"0"
25418,"city_160",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","6","","","1",240,"0"
27064,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Funded Startup","2",94,"0"
14598,"city_37",0.794,"","No relevent experience","no_enrollment","Graduate","STEM","9","5000-9999","Pvt Ltd","1",160,"0"
9571,"city_173",0.878,"Male","No relevent experience","Part time course","Graduate","STEM","10","Oct-49","Early Stage Startup","1",25,"0"
29640,"city_90",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","","","1",23,"0"
17519,"city_142",0.727,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","Oct-49","Pvt Ltd","2",113,"0"
12111,"city_73",0.754,"","Has relevent experience","no_enrollment","Graduate","STEM","15","","","2",56,"0"
31692,"city_160",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM",">20","10000+","Pvt Ltd","1",40,"0"
6052,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","<10","Pvt Ltd",">4",56,"0"
18161,"city_145",0.555,"","No relevent experience","Full time course","Graduate","STEM","4","","","1",106,"0"
12934,"city_114",0.926,"Male","Has relevent experience","Part time course","Graduate","STEM","19","500-999","Pvt Ltd","2",64,"0"
26419,"city_67",0.855,"Female","Has relevent experience","Full time course","Graduate","STEM","6","1000-4999","Pvt Ltd","2",41,"0"
4188,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","20","100-500","Pvt Ltd",">4",150,"0"
12117,"city_74",0.579,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","Oct-49","Pvt Ltd","1",320,"0"
28847,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","7","","","never",20,"0"
32534,"city_102",0.804,"Male","Has relevent experience","Full time course","Graduate","STEM","9","5000-9999","Pvt Ltd","1",74,"0"
22395,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","3","","Public Sector","1",129,"1"
4876,"city_67",0.855,"Female","Has relevent experience","no_enrollment","Masters","STEM","10","","","1",42,"0"
25182,"city_61",0.913,"","No relevent experience","no_enrollment","High School","","2","100-500","Pvt Ltd","never",58,"0"
7517,"city_103",0.92,"","No relevent experience","no_enrollment","High School","","4","","","1",45,"1"
2793,"city_83",0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","Oct-49","Pvt Ltd",">4",166,"0"
5593,"city_103",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM",">20","","","1",37,"0"
14003,"city_102",0.804,"Female","Has relevent experience","Part time course","Graduate","STEM","2","","","1",95,"1"
33057,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",29,"1"
30484,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd",">4",31,"0"
25459,"city_114",0.926,"Male","No relevent experience","no_enrollment","Primary School","","3","","","never",16,"0"
23657,"city_103",0.92,"Male","No relevent experience","no_enrollment","Primary School","","4","","","never",14,"0"
20322,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","100-500","Pvt Ltd",">4",206,"0"
31401,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","18","10000+","Pvt Ltd","2",116,"0"
14914,"city_102",0.804,"","Has relevent experience","no_enrollment","Masters","STEM","16","100-500","Pvt Ltd","4",161,"0"
27530,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","18","500-999","Pvt Ltd",">4",94,"0"
24701,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","15","10000+","Pvt Ltd",">4",16,"0"
6790,"city_90",0.698,"Male","Has relevent experience","Full time course","Masters","STEM","15","","","1",100,"0"
10102,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","10000+","Pvt Ltd","never",107,"0"
10338,"city_157",0.769,"Male","Has relevent experience","Part time course","Masters","STEM","11","","","1",17,"0"
15701,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Pvt Ltd","1",140,"0"
21218,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","3","10000+","Pvt Ltd","2",75,"0"
1586,"city_75",0.939,"","Has relevent experience","no_enrollment","High School","","6","","","1",59,"0"
13788,"city_93",0.865,"","No relevent experience","no_enrollment","","","3","","","never",302,"0"
28406,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","No Major","14","","Pvt Ltd","1",131,"0"
9384,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","500-999","Pvt Ltd",">4",143,"0"
4269,"city_67",0.855,"Female","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Pvt Ltd","2",72,"0"
28033,"city_136",0.897,"Male","No relevent experience","Full time course","Graduate","STEM","3","50-99","Early Stage Startup","1",182,"0"
15465,"city_100",0.887,"Male","Has relevent experience","no_enrollment","High School","","2","50-99","Public Sector","1",82,"0"
29440,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","<10","","2",60,"1"
32652,"city_65",0.802,"Male","Has relevent experience","Full time course","Masters","STEM","5","100-500","Pvt Ltd","4",124,"0"
28556,"city_149",0.689,"","No relevent experience","no_enrollment","Primary School","","2","","","2",46,"0"
12875,"city_152",0.698,"Male","No relevent experience","Full time course","Masters","STEM","3","","NGO","2",57,"1"
5899,"city_150",0.698,"Male","No relevent experience","no_enrollment","Primary School","","3","","Pvt Ltd","never",31,"0"
22787,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","1",36,"0"
27435,"city_36",0.893,"Male","Has relevent experience","Part time course","Graduate","STEM","15","","","4",198,"0"
2855,"city_16",0.91,"Male","No relevent experience","no_enrollment","Masters","STEM","5","10000+","Pvt Ltd","never",31,"0"
18385,"city_11",0.55,"","Has relevent experience","","Masters","STEM","9","50-99","Pvt Ltd","1",12,"0"
7328,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","","",">4",26,"1"
27113,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","","",">4",8,"1"
6008,"city_16",0.91,"Male","Has relevent experience","no_enrollment","High School","",">20","100-500","Pvt Ltd",">4",38,"0"
760,"city_23",0.899,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","16","","","2",8,"0"
2990,"city_173",0.878,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd","3",32,"1"
4162,"city_102",0.804,"Male","Has relevent experience","Full time course","Graduate","STEM","9","5000-9999","Pvt Ltd","2",22,"0"
27326,"city_114",0.926,"Male","Has relevent experience","Full time course","High School","","7","","","1",17,"0"
604,"city_16",0.91,"Male","No relevent experience","","","","3","","","never",24,"0"
2194,"city_23",0.899,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","Oct-49","Funded Startup","1",19,"0"
